icao,iata,name,callsign,country,active
710,"",BA101,"",United Kingdom,Y
???,??,Court Line,"",United Kingdom,N
AAZ,"",Angus Aviation,ANGUS,Canada,N
ABF,"",Aerial Oy,SKYWINGS,Finland,N
ABI,U1,Aviabus,"",Russia,Y
AEP,"",Aerotec,AEROTEC,Spain,N
AEW,VV,Aerosvit Airlines,AEROSVIT,Ukraine,Y
AFY,"",Africa Chartered Services,AFRICA CHARTERED,Nigeria,N
AFZ,"",Africa Freight Services,AFREIGHT,Zambia,N
AGX,"",Aviogenex,GENEX,Serbia,Y
AHH,"",Airplanes Holdings,AIRHOLD,Ireland,N
AHI,"",Servicios Aereos de Chihuahua Aerochisa,AEROCHISA,Mexico,N
AHR,"",Air Adriatic,ADRIATIC,Croatia,N
AKZ,"",AK Navigator LLC,ABSOLUTE,Kazakhstan,N
AMQ,"",Aeromedicare Ltd.,LIFELINE,United Kingdom,N
ANH,"",Alajnihah for Air Transport,ALAJNIHAH,Libya,N
AOK,"",Aeroatlantico Colombia,"",Colombia,N
AOR,"",Afro International Ent. Limited,INTER-AFRO,Nigeria,N
AOU,"",Air Tractor,AIR TRACTOR,Croatia,N
AOV,"",Aero Vision,AEROVISION,France,N
APF,"",Amapola Flyg AB,AMAPOLA,Sweden,N
AQN,"",Air Queensland,BUSHAIR,Australia,N
ATT,"",Aer Turas,AERTURAS,Ireland,N
ATW,"",Aero Trades (Western) Ltd.,AERO TRADES,Canada,N
AXV,"",Aviaxess,AXAVIA,France,N
AYS,"",Awsaj Aviation Services,"",Libya,N
AZU,AD,Azul,"",Brazil,Y
AZX,"",Air Max Africa,AZIMA,Gabon,N
BBE,"",Ababeel Aviation,BABEL AIR,Sudan,N
BBO,F7,Flybaboo,BABOO,Switzerland,Y
BDN,"",DERA Boscombe Down,GAUNTLET,United Kingdom,N
BEF,"",Balear Express,BALEAR EXPRESS,Spain,N
BFA,"",Presidence Du Faso,"",Burkina Faso,N
BHI,"",Balkh Airlines,SHARIF,Afghanistan,N
BHR,"",Bighorn Airways,BIGHORN AIR,United States,N
BHV,"",Specavia Air Company,AVIASPEC,Russia,N
BLC,"",Bellesavia,BELLESAVIA,Belarus,N
BLF,KF,Blue1,BLUEFIN,Finland,Y
BNV,"",Benane Aviation Corporation,BENANE,Mauritania,N
BPK,"",Berkhut ZK,VENERA,Kazakhstan,N
BPX,"",British Petroleum Exploration,"",Colombia,N
BYR,"",Berytos Airlines,"",Lebanon,N
BZD,"",Canadian Global Air Ambulance,BLIZZARD,Canada,N
CAG,"",China National Aviation Corporation,CHINA NATIONAL,China,N
CCA,CA,Air China,AIR CHINA,China,Y
CCF,"",CCF Manager Airline,TOMCAT,Germany,N
CCY,"",Cherry Air,CHERRY,United States,N
CDU,"",Aerotrans,"",Russia,N
CEL,"",CEIBA Intercontinental,CEIBA LINE,Equatorial Guinea,Y
CGV,"",Aero Clube Do Algarve,CLUBE ALGARVE,Portugal,N
CHD,"",223 Flight Unit State Airline,CHKALOVSK-AVIA,Russia,N
CHS,"",Challenge Aviation,CHALLENGE AVIATION,Australia,N
CIG,"",Sirius-Aero,SIRIUS AERO,Russia,N
CJR,"",Caverton Helicopters,CAVERTON AIR,Nigeria,N
CMX,"",El Caminante Taxi Aereo,EL CAMINANTE,Mexico,N
CNB,"",Cityline Hungary,CITYHUN,Hungary,N
CNN,10,Canadian World,Canadian,Canada,N
CNT,"",CNET,KNET,France,N
CPM,"",Compagnie Mauritanienne Des Transports,"",Mauritania,N
CPZ,CP,Compass Airlines,Compass Rose,United States,Y
CR7,C7,Sky Wing Pacific,"",South Korea,Y
CSD,"",Courier Services,DELIVERY,United States,N
CSH,FM,Shanghai Airlines,SHANGHAI AIR,China,Y
CSJ,"",Castle Aviation,CASTLE,United States,N
CST,BX,Coast Air,COAST CENTER,Norway,N
CUT,"",Court Helicopters,COURT AIR,South Africa,N
CWP,"",Australian Customs Service,COASTWATCH,Australia,N
DEE,"",Dixie Airways,TACAIR,United States,N
DEG,"",Air Service Groningen,DEGGER,Netherlands,N
DLI,"",Delta Express International,DELTA EXPRESS,Ukraine,N
DNR,"",Dynamair Aviation,DYNAMAIR,Canada,N
DRN,"",Central De Discos De Reynosa,DISCOS REYNOSA,Mexico,N
DST,"",Aex Air,DESERT,United States,N
DSV,"",Direct Aero Services,"",Romania,Y
